"week","county_fips","dose1_pct","fully_vacc_pct","Metro_status","conservative_pct","pop_density","temp","postal","cases_pcap"
"2021-01-04","05097",0,0,0,0.793183578621224,4.45236901326667,41.5,"0307",0.00700544868230846
"2021-01-11","05097",0,0,0,0.793183578621224,4.45236901326667,41.5,"0307",0.00433670632714333
"2021-01-18","05097",0,0,0,0.793183578621224,4.45236901326667,41.5,"0307",0.00211275436450573
"2021-01-25","05097",7.2,1.8,0,0.793183578621224,4.45236901326667,41.5,"0307",0.00177916157011009
"2021-02-01","05097",9.1,2.6,0,0.793183578621224,4.45236901326667,35.6,"0307",0.00378071833648393
"2021-02-08","05097",10.9,3.5,0,0.793183578621224,4.45236901326667,35.6,"0307",0.00266874235516513
"2021-02-15","05097",11.1,4.7,0,0.793183578621224,4.45236901326667,35.6,"0307",0.000778383186923162
"2021-02-22","05097",13.4,6.6,0,0.793183578621224,4.45236901326667,35.6,"0307",0.0011119759813188
"2021-03-01","05097",15.3,8.5,0,0.793183578621224,4.45236901326667,54.5,"0307",0.0011119759813188
"2021-03-08","05097",18.4,11.1,0,0.793183578621224,4.45236901326667,54.5,"0307",0.000444790392527521
"2021-03-15","05097",20.5,11.3,0,0.793183578621224,4.45236901326667,54.5,"0307",0.000333592794395641
"2021-03-22","05097",22,14.5,0,0.793183578621224,4.45236901326667,54.5,"0307",0.000444790392527521
"2021-03-29","05097",23.6,17.3,0,0.793183578621224,4.45236901326667,54.5,"0307",0.00011119759813188
"2021-04-05","05097",24.9,19.8,0,0.793183578621224,4.45236901326667,57.7,"0307",0.00011119759813188
"2021-04-12","05097",26.1,22.4,0,0.793183578621224,4.45236901326667,57.7,"0307",0.00011119759813188
"2021-04-19","05097",26.4,22.8,0,0.793183578621224,4.45236901326667,57.7,"0307",0.00011119759813188
"2021-04-26","05097",26.8,23.4,0,0.793183578621224,4.45236901326667,57.7,"0307",0
"2021-05-03","05097",27.1,23.8,0,0.793183578621224,4.45236901326667,65.8,"0307",0.00011119759813188
"2021-05-10","05097",27.6,24.2,0,0.793183578621224,4.45236901326667,65.8,"0307",0.00011119759813188
"2021-05-17","05097",28,24.5,0,0.793183578621224,4.45236901326667,65.8,"0307",0.00011119759813188
"2021-05-24","05097",28.3,24.9,0,0.793183578621224,4.45236901326667,65.8,"0307",0.00011119759813188
"2021-05-31","05097",28.5,25.3,0,0.793183578621224,4.45236901326667,65.8,"0307",0.00011119759813188
"2021-06-07","05097",28.7,25.6,0,0.793183578621224,4.45236901326667,76.3,"0307",0.000222395196263761
"2021-06-14","05097",28.9,25.9,0,0.793183578621224,4.45236901326667,76.3,"0307",0.00011119759813188
"2021-06-21","05097",29.2,26.2,0,0.793183578621224,4.45236901326667,76.3,"0307",0
"2021-06-28","05097",29.3,26.4,0,0.793183578621224,4.45236901326667,76.3,"0307",0.000555987990659402
"2021-07-05","05097",29.7,26.7,0,0.793183578621224,4.45236901326667,78.7,"0307",0.000222395196263761
"2021-07-12","05097",30.2,26.9,0,0.793183578621224,4.45236901326667,78.7,"0307",0.000667185588791282
"2021-07-19","05097",31.1,27.2,0,0.793183578621224,4.45236901326667,78.7,"0307",0.00233514956076949
"2021-07-26","05097",32.3,27.6,0,0.793183578621224,4.45236901326667,78.7,"0307",0.00311353274769265
"2021-08-02","05097",33.3,28,0,0.793183578621224,4.45236901326667,80.6,"0307",0.00333592794395641
"2021-08-09","05097",34.4,28.7,0,0.793183578621224,4.45236901326667,80.6,"0307",0.00378071833648393
"2021-08-16","05097",35.1,29.4,0,0.793183578621224,4.45236901326667,80.6,"0307",0.00433670632714333
"2021-08-23","05097",35.8,30.1,0,0.793183578621224,4.45236901326667,80.6,"0307",0.0051150895140665
"2021-08-30","05097",36.7,31.1,0,0.793183578621224,4.45236901326667,80.6,"0307",0.0062270654953853
"2021-09-06","05097",37,31.7,0,0.793183578621224,4.45236901326667,74.3,"0307",0.00389191593461581
"2021-09-13","05097",37.4,32.1,0,0.793183578621224,4.45236901326667,74.3,"0307",0.00255754475703325
"2021-09-20","05097",37.5,32.5,0,0.793183578621224,4.45236901326667,74.3,"0307",0.00155676637384632
"2021-09-27","05097",37.7,32.6,0,0.793183578621224,4.45236901326667,74.3,"0307",0.000444790392527521
"2021-10-04","05097",37.8,32.8,0,0.793183578621224,4.45236901326667,65.2,"0307",0.000333592794395641
"2021-10-11","05097",38.1,33.1,0,0.793183578621224,4.45236901326667,65.2,"0307",0.00166796397197821
"2021-10-18","05097",38.6,33.5,0,0.793183578621224,4.45236901326667,65.2,"0307",0.000555987990659402
"2021-10-25","05097",38.8,33.8,0,0.793183578621224,4.45236901326667,65.2,"0307",0.000444790392527521
"2021-11-01","05097",39,34,0,0.793183578621224,4.45236901326667,49.6,"0307",0.000778383186923162
"2021-11-08","05097",39.4,34.2,0,0.793183578621224,4.45236901326667,49.6,"0307",0.00122317357945068
"2021-11-15","05097",39.8,34.4,0,0.793183578621224,4.45236901326667,49.6,"0307",0.000667185588791282
"2021-11-22","05097",39.8,34.4,0,0.793183578621224,4.45236901326667,49.6,"0307",0.000333592794395641
"2021-11-29","05097",40.5,34.7,0,0.793183578621224,4.45236901326667,49.6,"0307",0.000333592794395641
"2021-12-06","05097",40.6,34.8,0,0.793183578621224,4.45236901326667,53.5,"0307",0.00189035916824197
"2021-12-13","05097",40.8,35,0,0.793183578621224,4.45236901326667,53.5,"0307",0.000667185588791282
"2021-12-20","05097",41,35.1,0,0.793183578621224,4.45236901326667,53.5,"0307",0.000444790392527521
"2021-12-27","05097",41,35.1,0,0.793183578621224,4.45236901326667,53.5,"0307",0.0011119759813188
"2022-01-03","05097",41.4,35.3,0,0.793183578621224,4.45236901326667,39.4,"0307",0.00277993995329701
"2022-01-10","05097",41.6,35.3,0,0.793183578621224,4.45236901326667,39.4,"0307",0.00778383186923162
"2022-01-17","05097",41.8,35.5,0,0.793183578621224,4.45236901326667,39.4,"0307",0.00689425108417658
"2022-01-24","05097",42,35.6,0,0.793183578621224,4.45236901326667,39.4,"0307",0.00644946069164906
"2022-01-31","05097",42.1,35.7,0,0.793183578621224,4.45236901326667,39.4,"0307",0.00489269431780274
"2022-02-07","05097",42.2,35.8,0,0.793183578621224,4.45236901326667,42,"0307",0.00189035916824197
"2022-02-14","05097",42.3,35.9,0,0.793183578621224,4.45236901326667,42,"0307",0.00100077838318692
"2022-02-21","05097",42.4,36,0,0.793183578621224,4.45236901326667,42,"0307",0.000333592794395641
"2022-02-28","05097",42.4,36,0,0.793183578621224,4.45236901326667,42,"0307",0
"2022-03-07","05097",42.4,36.1,0,0.793183578621224,4.45236901326667,NA,NA,0.000667185588791282
"2022-03-14","05097",42.5,36.1,0,0.793183578621224,4.45236901326667,NA,NA,0.000889580785055043
"2022-03-21","05097",42.5,36.1,0,0.793183578621224,4.45236901326667,NA,NA,0.00177916157011009
"2022-03-28","05097",42.6,36.1,0,0.793183578621224,4.45236901326667,NA,NA,0.00011119759813188
"2022-04-04","05097",42.7,36.2,0,0.793183578621224,4.45236901326667,NA,NA,0
