"week","county_fips","is_metro","dose1_pct","fully_vacc_pct","conservative_pct","pop_density","temp","cases_pcap"
"2021-06-07","27001",0,50.7,47,0.629725685785536,3.35577468125594,67.2,0.000442086648983201
"2021-06-14","27001",0,51.2,47.5,0.629725685785536,3.35577468125594,67.2,0.000189465706707086
"2021-06-21","27001",0,51.4,48.1,0.629725685785536,3.35577468125594,67.2,6.31552355690287e-05
"2021-06-28","27001",0,51.7,48.4,0.629725685785536,3.35577468125594,67.2,-6.31552355690287e-05
"2021-07-05","27001",0,51.9,48.7,0.629725685785536,3.35577468125594,66.2,0
"2021-07-12","27001",0,52.1,48.9,0.629725685785536,3.35577468125594,66.2,0
"2021-07-19","27001",0,52.3,49,0.629725685785536,3.35577468125594,66.2,0.000189465706707086
"2021-07-26","27001",0,52.7,49.3,0.629725685785536,3.35577468125594,66.2,0.000631552355690287
"2021-08-02","27001",0,53.2,49.4,0.629725685785536,3.35577468125594,70.3,0.000568397120121258
"2021-08-09","27001",0,54,49.9,0.629725685785536,3.35577468125594,70.3,0.000884173297966401
"2021-08-16","27001",0,54.8,50.5,0.629725685785536,3.35577468125594,70.3,0.00145257041808766
"2021-08-23","27001",0,55.3,51,0.629725685785536,3.35577468125594,70.3,0.00151572565365669
"2021-08-30","27001",0,55.6,51.5,0.629725685785536,3.35577468125594,70.3,0.00138941518251863
"2021-09-06","27001",0,55.8,51.8,0.629725685785536,3.35577468125594,61.4,0.0017683465959328
"2021-09-13","27001",0,56.1,52.2,0.629725685785536,3.35577468125594,61.4,0.0017683465959328
"2021-09-20","27001",0,56.4,52.7,0.629725685785536,3.35577468125594,61.4,0.0026525198938992
"2021-09-27","27001",0,56.6,53,0.629725685785536,3.35577468125594,61.4,0.00309460654288241
"2021-10-04","27001",0,56.9,53.4,0.629725685785536,3.35577468125594,52.7,0.00372615889857269
"2021-10-11","27001",0,57.2,53.7,0.629725685785536,3.35577468125594,52.7,0.00530503978779841
"2021-10-18","27001",0,57.6,54,0.629725685785536,3.35577468125594,52.7,0.00353669319186561
"2021-10-25","27001",0,58.1,54.4,0.629725685785536,3.35577468125594,52.7,0.00334722748515852
"2021-11-01","27001",0,58.3,55,0.629725685785536,3.35577468125594,37.9,0.00492610837438424
"2021-11-08","27001",0,59.1,55.2,0.629725685785536,3.35577468125594,37.9,0.00454717696097006
"2021-11-15","27001",0,59.6,55.3,0.629725685785536,3.35577468125594,37.9,0.00404193507641783
"2021-11-22","27001",0,59.7,55.4,0.629725685785536,3.35577468125594,37.9,0.00322091701402046
"2021-11-29","27001",0,60.4,56.2,0.629725685785536,3.35577468125594,37.9,0.00581028167235064
"2021-12-06","27001",0,60.8,56.6,0.629725685785536,3.35577468125594,30.1,0.00530503978779841
"2021-12-13","27001",0,61,56.8,0.629725685785536,3.35577468125594,30.1,0.00341038272072755
"2021-12-20","27001",0,61.3,57,0.629725685785536,3.35577468125594,30.1,0.00119994947581154
"2021-12-27","27001",0,61.3,57.1,0.629725685785536,3.35577468125594,30.1,0.00107363900467349
"2022-01-03","27001",0,61.7,57.4,0.629725685785536,3.35577468125594,17,0.00113679424024252
"2022-01-10","27001",0,61.9,57.5,0.629725685785536,3.35577468125594,17,0.00467348743210812
"2022-01-17","27001",0,62.3,57.7,0.629725685785536,3.35577468125594,17,0.00347353795629658
"2022-01-24","27001",0,62.5,57.9,0.629725685785536,3.35577468125594,17,0.00738916256157635
"2022-01-31","27001",0,62.6,58,0.629725685785536,3.35577468125594,17,0.00574712643678161
"2022-02-07","27001",0,62.7,58.1,0.629725685785536,3.35577468125594,25.3,0.00315776177845143
"2022-02-14","27001",0,62.8,58.2,0.629725685785536,3.35577468125594,25.3,0.00315776177845143
"2022-02-21","27001",0,62.8,58.4,0.629725685785536,3.35577468125594,25.3,0.00164203612479475
"2022-02-28","27001",0,62.9,58.5,0.629725685785536,3.35577468125594,25.3,0.000884173297966401
