"week","county_fips","dose1_pct","fully_vacc_pct","Metro_status","conservative_pct","pop_density","temp","cases_pcap","next_cases_pcap"
"2020-12-21","31031",0,0,0,0.885758039816233,0.375076077963537,32,0.000172711571675302,0.000690846286701209
"2020-12-28","31031",0,0,0,0.885758039816233,0.375076077963537,32,0.000690846286701209,0.000863557858376511
"2021-01-04","31031",0,0,0,0.885758039816233,0.375076077963537,29.4,0.000863557858376511,0.000518134715025907
"2021-01-11","31031",0,0,0,0.885758039816233,0.375076077963537,29.4,0.000518134715025907,0.000345423143350604
"2021-01-18","31031",0,0,0,0.885758039816233,0.375076077963537,29.4,0.000345423143350604,0.000345423143350604
"2021-01-25","31031",8.5,0.8,0,0.885758039816233,0.375076077963537,29.4,0.000345423143350604,0.000345423143350604
"2021-02-01","31031",9.1,1.9,0,0.885758039816233,0.375076077963537,17,0.000345423143350604,0.000172711571675302
"2021-02-08","31031",13.8,4.4,0,0.885758039816233,0.375076077963537,17,0.000172711571675302,0
"2021-02-15","31031",15,7,0,0.885758039816233,0.375076077963537,17,0,0.000172711571675302
"2021-02-22","31031",15.7,10.2,0,0.885758039816233,0.375076077963537,17,0.000172711571675302,-0.000172711571675302
"2021-03-01","31031",16,11.3,0,0.885758039816233,0.375076077963537,41.3,-0.000172711571675302,0
"2021-03-08","31031",17.1,14.5,0,0.885758039816233,0.375076077963537,41.3,0,0.000863557858376511
"2021-03-15","31031",19.4,15.7,0,0.885758039816233,0.375076077963537,41.3,0.000863557858376511,0.000172711571675302
"2021-03-22","31031",20,16.4,0,0.885758039816233,0.375076077963537,41.3,0.000172711571675302,0.00397236614853195
"2021-03-29","31031",21.7,16.9,0,0.885758039816233,0.375076077963537,41.3,0.00397236614853195,0
"2021-04-05","31031",22.7,17.9,0,0.885758039816233,0.375076077963537,44.7,0,0
"2021-04-12","31031",23.8,20.2,0,0.885758039816233,0.375076077963537,44.7,0,0.000518134715025907
"2021-04-19","31031",24.1,20.6,0,0.885758039816233,0.375076077963537,44.7,0.000518134715025907,0.000172711571675302
"2021-04-26","31031",24.7,22.3,0,0.885758039816233,0.375076077963537,44.7,0.000172711571675302,0.000172711571675302
"2021-05-03","31031",24.9,22.8,0,0.885758039816233,0.375076077963537,55.3,0.000172711571675302,0
"2021-05-10","31031",25.3,23.7,0,0.885758039816233,0.375076077963537,55.3,0,0.000172711571675302
"2021-05-17","31031",25.6,24.3,0,0.885758039816233,0.375076077963537,55.3,0.000172711571675302,0.0233160621761658
"2021-05-24","31031",26,24.6,0,0.885758039816233,0.375076077963537,55.3,0.0233160621761658,0
"2021-05-31","31031",26.2,24.8,0,0.885758039816233,0.375076077963537,55.3,0,0
"2021-06-07","31031",26.4,25.1,0,0.885758039816233,0.375076077963537,71.6,0,0
"2021-06-14","31031",26.9,25.7,0,0.885758039816233,0.375076077963537,71.6,0,0
"2021-06-21","31031",26.9,25.8,0,0.885758039816233,0.375076077963537,71.6,0,0.000172711571675302
"2021-06-28","31031",27.2,26,0,0.885758039816233,0.375076077963537,71.6,0.000172711571675302,0
"2021-07-05","31031",27.3,26.3,0,0.885758039816233,0.375076077963537,74.9,0,0
"2021-07-12","31031",27.4,26.4,0,0.885758039816233,0.375076077963537,74.9,0,0.000345423143350604
"2021-07-19","31031",27.7,26.7,0,0.885758039816233,0.375076077963537,74.9,0.000345423143350604,0
"2021-07-26","31031",27.8,26.8,0,0.885758039816233,0.375076077963537,74.9,0,0
"2021-08-02","31031",28.1,27,0,0.885758039816233,0.375076077963537,73.3,0,0
"2021-08-09","31031",28.9,27.1,0,0.885758039816233,0.375076077963537,73.3,0,0
"2021-08-16","31031",29.5,27.5,0,0.885758039816233,0.375076077963537,73.3,0,0
"2021-08-23","31031",29.8,27.7,0,0.885758039816233,0.375076077963537,73.3,0,0
"2021-08-30","31031",30.1,27.9,0,0.885758039816233,0.375076077963537,73.3,0,0
"2021-09-06","31031",30.7,28.4,0,0.885758039816233,0.375076077963537,66.4,0,0
"2021-09-13","31031",31,28.7,0,0.885758039816233,0.375076077963537,66.4,0,-0.018307426597582
"2021-09-20","31031",31.7,29.3,0,0.885758039816233,0.375076077963537,66.4,-0.018307426597582,0.00984455958549223
"2021-09-27","31031",31.9,29.7,0,0.885758039816233,0.375076077963537,66.4,0.00984455958549223,0.000172711571675302
"2021-10-04","31031",32.4,30,0,0.885758039816233,0.375076077963537,51.3,0.000172711571675302,0.000518134715025907
"2021-10-11","31031",32.5,30.3,0,0.885758039816233,0.375076077963537,51.3,0.000518134715025907,0.000518134715025907
"2021-10-18","31031",32.7,30.7,0,0.885758039816233,0.375076077963537,51.3,0.000518134715025907,0.000690846286701209
"2021-10-25","31031",32.9,30.9,0,0.885758039816233,0.375076077963537,51.3,0.000690846286701209,0.000518134715025907
"2021-11-01","31031",33.2,31.1,0,0.885758039816233,0.375076077963537,42.4,0.000518134715025907,0.00103626943005181
"2021-11-08","31031",33.5,31.3,0,0.885758039816233,0.375076077963537,42.4,0.00103626943005181,0.00155440414507772
"2021-11-15","31031",34,31.6,0,0.885758039816233,0.375076077963537,42.4,0.00155440414507772,0.000345423143350604
"2021-11-22","31031",34.1,31.6,0,0.885758039816233,0.375076077963537,42.4,0.000345423143350604,0.00172711571675302
"2021-11-29","31031",34.6,31.7,0,0.885758039816233,0.375076077963537,42.4,0.00172711571675302,0.00172711571675302
"2021-12-06","31031",35.2,31.9,0,0.885758039816233,0.375076077963537,31.4,0.00172711571675302,0.00224525043177893
"2021-12-13","31031",35.6,32.3,0,0.885758039816233,0.375076077963537,31.4,0.00224525043177893,0
"2021-12-20","31031",35.7,32.6,0,0.885758039816233,0.375076077963537,31.4,0,0.00189982728842832
"2021-12-27","31031",36,32.8,0,0.885758039816233,0.375076077963537,31.4,0.00189982728842832,0.000690846286701209
"2022-01-03","31031",36.2,33.1,0,0.885758039816233,0.375076077963537,26.2,0.000690846286701209,0.00172711571675302
"2022-01-10","31031",36.6,33.2,0,0.885758039816233,0.375076077963537,26.2,0.00172711571675302,0.00362694300518135
"2022-01-17","31031",36.7,33.4,0,0.885758039816233,0.375076077963537,26.2,0.00362694300518135,0.00362694300518135
"2022-01-24","31031",36.8,33.5,0,0.885758039816233,0.375076077963537,26.2,0.00362694300518135,0.00172711571675302
"2022-01-31","31031",37.1,33.8,0,0.885758039816233,0.375076077963537,26.2,0.00172711571675302,0.000690846286701209
"2022-02-07","31031",37.2,33.8,0,0.885758039816233,0.375076077963537,25.4,0.000690846286701209,0.000172711571675302
"2022-02-14","31031",37.4,34.1,0,0.885758039816233,0.375076077963537,25.4,0.000172711571675302,0.000518134715025907
"2022-02-21","31031",37.5,34.2,0,0.885758039816233,0.375076077963537,25.4,0.000518134715025907,0.00103626943005181
